2019-07-30 11:12:58 INFO - Loading data...
2019-07-30 11:12:58 INFO - Number of test data: 10000
2019-07-30 11:13:03 INFO - Test index: 0, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 1, Predicted class: 2, Actual class: 2
2019-07-30 11:13:03 INFO - Test index: 2, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 3, Predicted class: 0, Actual class: 0
2019-07-30 11:13:03 INFO - Test index: 4, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 5, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 6, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 7, Predicted class: 9, Actual class: 9
2019-07-30 11:13:03 INFO - Test index: 8, Predicted class: 5, Actual class: 5
2019-07-30 11:13:03 INFO - Test index: 9, Predicted class: 9, Actual class: 9
2019-07-30 11:13:03 INFO - Test index: 10, Predicted class: 0, Actual class: 0
2019-07-30 11:13:03 INFO - Test index: 11, Predicted class: 6, Actual class: 6
2019-07-30 11:13:03 INFO - Test index: 12, Predicted class: 9, Actual class: 9
2019-07-30 11:13:03 INFO - Test index: 13, Predicted class: 0, Actual class: 0
2019-07-30 11:13:03 INFO - Test index: 14, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 15, Predicted class: 5, Actual class: 5
2019-07-30 11:13:03 INFO - Test index: 16, Predicted class: 9, Actual class: 9
2019-07-30 11:13:03 INFO - Test index: 17, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 18, Predicted class: 3, Actual class: 3
2019-07-30 11:13:03 INFO - Test index: 19, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 20, Predicted class: 9, Actual class: 9
2019-07-30 11:13:03 INFO - Test index: 21, Predicted class: 6, Actual class: 6
2019-07-30 11:13:03 INFO - Test index: 22, Predicted class: 6, Actual class: 6
2019-07-30 11:13:03 INFO - Test index: 23, Predicted class: 5, Actual class: 5
2019-07-30 11:13:03 INFO - Test index: 24, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 25, Predicted class: 0, Actual class: 0
2019-07-30 11:13:03 INFO - Test index: 26, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 27, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 28, Predicted class: 0, Actual class: 0
2019-07-30 11:13:03 INFO - Test index: 29, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 30, Predicted class: 3, Actual class: 3
2019-07-30 11:13:03 INFO - Test index: 31, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 32, Predicted class: 3, Actual class: 3
2019-07-30 11:13:03 INFO - Test index: 33, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 34, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 35, Predicted class: 2, Actual class: 2
2019-07-30 11:13:03 INFO - Test index: 36, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 37, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 38, Predicted class: 2, Actual class: 2
2019-07-30 11:13:03 INFO - Test index: 39, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 40, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 41, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 42, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 43, Predicted class: 2, Actual class: 2
2019-07-30 11:13:03 INFO - Test index: 44, Predicted class: 3, Actual class: 3
2019-07-30 11:13:03 INFO - Test index: 45, Predicted class: 5, Actual class: 5
2019-07-30 11:13:03 INFO - Test index: 46, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 47, Predicted class: 2, Actual class: 2
2019-07-30 11:13:03 INFO - Test index: 48, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 49, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 50, Predicted class: 6, Actual class: 6
2019-07-30 11:13:03 INFO - Test index: 51, Predicted class: 3, Actual class: 3
2019-07-30 11:13:03 INFO - Test index: 52, Predicted class: 5, Actual class: 5
2019-07-30 11:13:03 INFO - Test index: 53, Predicted class: 5, Actual class: 5
2019-07-30 11:13:03 INFO - Test index: 54, Predicted class: 6, Actual class: 6
2019-07-30 11:13:03 INFO - Test index: 55, Predicted class: 0, Actual class: 0
2019-07-30 11:13:03 INFO - Test index: 56, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 57, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 58, Predicted class: 9, Actual class: 9
2019-07-30 11:13:03 INFO - Test index: 59, Predicted class: 5, Actual class: 5
2019-07-30 11:13:03 INFO - Test index: 60, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 61, Predicted class: 8, Actual class: 8
2019-07-30 11:13:03 INFO - Test index: 62, Predicted class: 9, Actual class: 9
2019-07-30 11:13:03 INFO - Test index: 63, Predicted class: 3, Actual class: 3
2019-07-30 11:13:03 INFO - Test index: 64, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 65, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 66, Predicted class: 6, Actual class: 6
2019-07-30 11:13:03 INFO - Test index: 67, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 68, Predicted class: 3, Actual class: 3
2019-07-30 11:13:03 INFO - Test index: 69, Predicted class: 0, Actual class: 0
2019-07-30 11:13:03 INFO - Test index: 70, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 71, Predicted class: 0, Actual class: 0
2019-07-30 11:13:03 INFO - Test index: 72, Predicted class: 2, Actual class: 2
2019-07-30 11:13:03 INFO - Test index: 73, Predicted class: 9, Actual class: 9
2019-07-30 11:13:03 INFO - Test index: 74, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 75, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 76, Predicted class: 3, Actual class: 3
2019-07-30 11:13:03 INFO - Test index: 77, Predicted class: 2, Actual class: 2
2019-07-30 11:13:03 INFO - Test index: 78, Predicted class: 9, Actual class: 9
2019-07-30 11:13:03 INFO - Test index: 79, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 80, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 81, Predicted class: 6, Actual class: 6
2019-07-30 11:13:03 INFO - Test index: 82, Predicted class: 2, Actual class: 2
2019-07-30 11:13:03 INFO - Test index: 83, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 84, Predicted class: 8, Actual class: 8
2019-07-30 11:13:03 INFO - Test index: 85, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 86, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 87, Predicted class: 3, Actual class: 3
2019-07-30 11:13:03 INFO - Test index: 88, Predicted class: 6, Actual class: 6
2019-07-30 11:13:03 INFO - Test index: 89, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 90, Predicted class: 3, Actual class: 3
2019-07-30 11:13:03 INFO - Test index: 91, Predicted class: 6, Actual class: 6
2019-07-30 11:13:03 INFO - Test index: 92, Predicted class: 9, Actual class: 9
2019-07-30 11:13:03 INFO - Test index: 93, Predicted class: 3, Actual class: 3
2019-07-30 11:13:03 INFO - Test index: 94, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 95, Predicted class: 4, Actual class: 4
2019-07-30 11:13:03 INFO - Test index: 96, Predicted class: 1, Actual class: 1
2019-07-30 11:13:03 INFO - Test index: 97, Predicted class: 7, Actual class: 7
2019-07-30 11:13:03 INFO - Test index: 98, Predicted class: 6, Actual class: 6
2019-07-30 11:13:03 INFO - Test index: 99, Predicted class: 9, Actual class: 9
